Predictor,ROC Index,threshold,sensitivity,specificity,1-specificity
Dahl2021_p,0,1.8013322780715217,0.0,1.0,0.0
Dahl2021_p,1,0.8013322780715219,0.014492753623188406,1.0,0.0
Dahl2021_p,2,0.78564508128135,0.028985507246376812,1.0,0.0
Dahl2021_p,3,0.7565803809751295,0.07246376811594203,1.0,0.0
Dahl2021_p,4,0.7540269253344349,0.08695652173913043,1.0,0.0
Dahl2021_p,5,0.7463183277850765,0.10144927536231885,1.0,0.0
Dahl2021_p,6,0.7447695539664012,0.11594202898550725,1.0,0.0
Dahl2021_p,7,0.7373588445261344,0.13043478260869565,1.0,0.0
Dahl2021_p,8,0.7362018293214755,0.14492753623188406,1.0,0.0
Dahl2021_p,9,0.7003384401228413,0.15942028985507245,1.0,0.0
Dahl2021_p,10,0.6967015874908276,0.17391304347826086,1.0,0.0
Dahl2021_p,11,0.6683194564553043,0.18840579710144928,1.0,0.0
Dahl2021_p,12,0.6653896303227986,0.2028985507246377,1.0,0.0
Dahl2021_p,13,0.6298123782955612,0.21739130434782608,1.0,0.0
Dahl2021_p,14,0.6277363701717454,0.2318840579710145,1.0,0.0
Dahl2021_p,15,0.6192688441160523,0.2318840579710145,0.9838709677419355,0.016129032258064516
Dahl2021_p,16,0.6119280619530579,0.2318840579710145,0.967741935483871,0.03225806451612903
Dahl2021_p,17,0.6089412526238563,0.2463768115942029,0.967741935483871,0.03225806451612903
Dahl2021_p,18,0.6039201129557479,0.2608695652173913,0.967741935483871,0.03225806451612903
Dahl2021_p,19,0.6015893949625704,0.2753623188405797,0.967741935483871,0.03225806451612903
Dahl2021_p,20,0.5984997617180339,0.2753623188405797,0.9516129032258065,0.04838709677419355
Dahl2021_p,21,0.5965364025694685,0.2898550724637681,0.9516129032258065,0.04838709677419355
Dahl2021_p,22,0.5948726772569995,0.30434782608695654,0.9516129032258065,0.04838709677419355
Dahl2021_p,23,0.5920696908310695,0.30434782608695654,0.935483870967742,0.06451612903225806
Dahl2021_p,24,0.5887286098606822,0.3188405797101449,0.935483870967742,0.06451612903225806
Dahl2021_p,25,0.5875116226984438,0.3333333333333333,0.935483870967742,0.06451612903225806
Dahl2021_p,26,0.5830148383136993,0.34782608695652173,0.935483870967742,0.06451612903225806
Dahl2021_p,27,0.5776617606124895,0.36231884057971014,0.935483870967742,0.06451612903225806
Dahl2021_p,28,0.577508540831964,0.37681159420289856,0.935483870967742,0.06451612903225806
Dahl2021_p,29,0.5772786832009712,0.391304347826087,0.935483870967742,0.06451612903225806
Dahl2021_p,30,0.575269554607222,0.391304347826087,0.9193548387096774,0.08064516129032258
Dahl2021_p,31,0.5752084698345468,0.4057971014492754,0.9193548387096774,0.08064516129032258
Dahl2021_p,32,0.5742875229320615,0.42028985507246375,0.9193548387096774,0.08064516129032258
Dahl2021_p,33,0.5677497407434587,0.43478260869565216,0.9193548387096774,0.08064516129032258
Dahl2021_p,34,0.5672102495030582,0.4492753623188406,0.9193548387096774,0.08064516129032258
Dahl2021_p,35,0.5651799724436645,0.463768115942029,0.9193548387096774,0.08064516129032258
Dahl2021_p,36,0.5628886842747624,0.4782608695652174,0.9193548387096774,0.08064516129032258
Dahl2021_p,37,0.5616521660470241,0.5072463768115942,0.9193548387096774,0.08064516129032258
Dahl2021_p,38,0.5580929599329086,0.5217391304347826,0.9193548387096774,0.08064516129032258
Dahl2021_p,39,0.5563110928478345,0.5362318840579711,0.9193548387096774,0.08064516129032258
Dahl2021_p,40,0.5518890075386411,0.5507246376811594,0.9193548387096774,0.08064516129032258
Dahl2021_p,41,0.5470697084004644,0.5507246376811594,0.9032258064516129,0.0967741935483871
Dahl2021_p,42,0.5422415690815158,0.5652173913043478,0.9032258064516129,0.0967741935483871
Dahl2021_p,43,0.5371712923354061,0.5652173913043478,0.8870967741935484,0.11290322580645161
Dahl2021_p,44,0.5358439076483117,0.5652173913043478,0.8709677419354839,0.12903225806451613
Dahl2021_p,45,0.5305294749558112,0.5797101449275363,0.8548387096774194,0.14516129032258066
Dahl2021_p,46,0.5184700918262305,0.5797101449275363,0.8387096774193549,0.16129032258064516
Dahl2021_p,47,0.5129021351818739,0.5942028985507246,0.8387096774193549,0.16129032258064516
Dahl2021_p,48,0.5018364917413476,0.5942028985507246,0.8225806451612903,0.1774193548387097
Dahl2021_p,49,0.49866950314037967,0.6086956521739131,0.8225806451612903,0.1774193548387097
Dahl2021_p,50,0.48912121712947054,0.6086956521739131,0.8064516129032258,0.1935483870967742
Dahl2021_p,51,0.48904275455938434,0.6231884057971014,0.8064516129032258,0.1935483870967742
Dahl2021_p,52,0.48512039484751623,0.6231884057971014,0.7903225806451613,0.20967741935483872
Dahl2021_p,53,0.4823488380986256,0.6376811594202898,0.7903225806451613,0.20967741935483872
Dahl2021_p,54,0.47352279059321484,0.6376811594202898,0.7741935483870968,0.22580645161290322
Dahl2021_p,55,0.4698451403730776,0.6376811594202898,0.7580645161290323,0.24193548387096775
Dahl2021_p,56,0.45654639814576464,0.6521739130434783,0.7580645161290323,0.24193548387096775
Dahl2021_p,57,0.45626158005653,0.6666666666666666,0.7580645161290323,0.24193548387096775
Dahl2021_p,58,0.43876887854691127,0.6811594202898551,0.7580645161290323,0.24193548387096775
Dahl2021_p,59,0.43621886901632373,0.6956521739130435,0.7580645161290323,0.24193548387096775
Dahl2021_p,60,0.4339807278793855,0.6956521739130435,0.7419354838709677,0.25806451612903225
Dahl2021_p,61,0.4313601316420526,0.6956521739130435,0.7258064516129032,0.27419354838709675
Dahl2021_p,62,0.42766703290845326,0.6956521739130435,0.7096774193548387,0.2903225806451613
Dahl2021_p,63,0.42255197045255327,0.7101449275362319,0.7096774193548387,0.2903225806451613
Dahl2021_p,64,0.4150357677605539,0.7246376811594203,0.7096774193548387,0.2903225806451613
